Date	DoW M=1	Debit	Credit
43158	2	-9.08	
43158	2	-10	
43157	1	-17.37	
43157	1	-27.93	
43156	7	-15.01	
43156	7	-29.91	
43156	7	-65.4	
43156	7	-166.72	
43155	6	-123.3	
43155	6	-34.31	
43155	6	-40.74	
43155	6	-65.4	
43154	5	-36.78	
43153	4	-1499.96	1499.96
43153	4	-27.01	
43153	4	-5.14	
43153	4	-19.43	
43153	4	0	197.14
43153	4	0	3360.63
43152	3	-500	500
43152	3	-9.66	
43152	3	-2.25	
43152	3	-5000	5000
43152	3	-320.5	
43152	3	-10	
43152	3	0	313.63
43151	2	-44.88	
43151	2	-8.43	
43151	2	-48.78	
43151	2	0	10.34
43150	1	-635.01	
43150	1	-21.53	
43150	1	0	
43149	7	-11.21	
43149	7	-86.62	
43149	7	-15.02	
43149	7	-15.98	
43148	6	-63.33	
43148	6	-27.2	
43147	5	-13.03	
43147	5	-5	
43147	5	-434.32	400
43147	5	0	136
43147	5	0	857.89
43147	5	0	2171
43146	4	-56.91	
43146	4	-11.92	
43146	4	-1536.15	1536.15
43146	4	-9.54	
43146	4	-1.35	
43145	3	-11.3	
43145	3	-1.34	
43144	2	-644.12	
43144	2	-12.37	
43144	2	-7.8	
43143	1	-8.25	
43143	1	-14.57	
43142	7	-213.55	213.55
43142	7	-213.55	
43142	7	-69.03	
43142	7	-32.03	
43142	7	-32.03	
43141	6	-130.32	
43141	6	0	175.37
43141	6	0	2323.05
43140	5	-219.93	
43140	5	-504.41	400
43140	5	-66.35	
43140	5	-10.69	
43140	5	-10.69	
43139	4	-27.39	
43139	4	-170.96	
43139	4	-13.99	
43139	4	0	72.4
43139	4	0	3058.72
43138	3	-8.43	
43138	3	-8.87	
43138	3	0	472.09
43137	2	-1845.36	1845.36
43137	2	-12.99	12.99
43137	2	-48.33	
43137	2	-12.99	
43136	1	0	
43136	1	-10	
43135	7	0	
43134	6	-12.85	
43134	6	-31.31	
43134	6	-38.87	
43134	6	-111.04	
43134	6	-172.75	
43133	5	-48.59	
43133	5	-12.42	
43133	5	-5.61	
43133	5	-9.72	
43133	5	-5	
43133	5	-324.15	300
43133	5	-412.43	
43133	5	0	225.42
43133	5	-175.37	
43132	4	-331.62	
43132	4	-15.68	
43132	4	-3	
43132	4	-130	
43132	4	-2	
43132	4	-43.5	
43132	4	-58.63	
43132	4	-59.8	
43132	4	-84	
43132	4	0	1411.51
43132	4	-12.03	
43132	4	-7.68	
43132	4	-71.56	
43132	4	-42.5	
43132	4	0	200
43132	4	-2455.67	2455.67
43132	4	-4.9	
43132	4	-1.87	
43132	4	-9.6	
43132	4	-2.99	
43131	3	-54	
43131	3	-13	
43131	3	-5.32	
43131	3	-1.43	
43131	3	-13.4	
43131	3	-5223.78	5223.78
43131	3	-3.31	
43131	3	-17.59	
43131	3	-5.49	
43130	2	-20	
43130	2	-12.55	
43130	2	-4.27	
43130	2	-6	
43130	2	-30	
43130	2	-5000	5000
43130	2	-12.99	12.99
43130	2	-456.81	
43130	2	-426.03	
43130	2	-12.99	
43130	2	-17.59	
43129	1	-25.16	
43129	1	-20	
43129	1	-20	
43129	1	-1411.51	
43129	1	-13.09	
43129	1	-7.62	
43129	1	-19.84	
43129	1	-1.44	
43128	7	-75	
43128	7	-21.91	
43128	7	-385.58	
43128	7	0	
43128	7	-31.34	
43127	6	-84.94	
43127	6	-210.03	
43127	6	-28.5	
43127	6	-29.7	
43127	6	-103	
43127	6	-73.1	
43127	6	-16.32	
43127	6	-20	
43127	6	-63	
43127	6	-136	
43127	6	-56	
43127	6	-200	200
43127	6	-30.07	
43127	6	0	375.11
43126	5	-3	
43126	5	-31.71	
43126	5	-3.86	
43125	4	-42.96	
43125	4	0	
43125	4	-13.71	
43125	4	0	1083.34
43125	4	0	1905.26
43124	3	-2.75	
43124	3	-21.72	
43124	3	-16.54	
43123	2	0	
43122	1	-1.05	
43122	1	-69.37	
43121	7	-5.45	
43121	7	-61.46	
43120	6	-104.48	
43120	6	-36.87	
43120	6	-61.08	
43120	6	-11.43	
43120	6	0	5.71
43119	5	-2.7	
43119	5	-5	
43118	4	-6.47	
43118	4	-37.69	
43118	4	0	29.15
43118	4	-6.47	
43118	4	-49.7	
43118	4	-15.98	
43117	3	-18.79	
43117	3	-5	
43117	3	-626.24	600
43117	3	-5.98	
43116	2	-3092.65	
43116	2	-63.1	
43116	2	-120.58	
43115	1	-2.71	
43115	1	-2.71	
43115	1	-83.37	
43115	1	-3.23	
43114	7	-4.53	
43114	7	-7.83	
43113	6	-31.18	
43113	6	-5.36	
43113	6	-7.52	
43112	5	-31.95	
43112	5	-51.53	
43112	5	-23.71	
43112	5	-42.19	
43112	5	-51.02	
43112	5	-239.11	
43111	4	-58.69	
43111	4	-7	
43111	4	-738.96	
43111	4	-3	
43111	4	-12.72	
43111	4	-42	
43111	4	-7	
43111	4	-22	
43111	4	-7.46	
43111	4	-10.99	
43111	4	-181	
43111	4	-753.12	
43111	4	-7.99	
43111	4	-1.44	
43111	4	0	1889.27
43110	3	-12.16	
43110	3	-98.13	
43110	3	-99	
43110	3	-17.08	
43110	3	-188.67	188.67
43110	3	-188.67	
43110	3	0	200
43110	3	-20	20
43110	3	-10	
43110	3	-17.92	
43110	3	-7.2	
43109	2	0	1626.34
43109	2	-80	
43109	2	-13	
43109	2	-9	
43109	2	-1.81	
43109	2	-11.75	
43109	2	-1.5	
43109	2	-21	
43109	2	-13.6	
43109	2	-17.27	
43109	2	-4.06	
43108	1	-51.3	
43108	1	-11	
43108	1	-48.14	
43108	1	-11.75	
43108	1	-1.44	
43108	1	-4	
43108	1	-22.76	
43108	1	-1.71	
43108	1	-21	
43108	1	0	723.67
43108	1	0	1950
43108	1	-1000	1000
43108	1	-18.66	
43108	1	-2.46	
43107	7	-3	
43107	7	-3	
43106	6	-3.69	
43106	6	-2.09	
43106	6	-2.28	
43106	6	-12.99	12.99
43106	6	-12.99	
43105	5	-18.72	
43105	5	-37.2	
43105	5	0	1500
43105	5	0	2033.07
43104	4	0	
43104	4	0	54.15
43103	3	-5.75	
43103	3	-7.63	
43102	2	-23.21	
43102	2	-368.65	
43102	2	-175.37	
43102	2	-5.49	
43101	1	-2.99	
43100	7	0	
43100	7	0	165
43099	6	0	
43098	5	-45.92	
43098	5	-9.72	
43098	5	-98.49	
43098	5	-12.99	12.99
43098	5	-12.99	
43097	4	-104.37	
43097	4	-7.2	
43097	4	-123.32	123.32
43097	4	0	104.36
43097	4	0	1802.79
43096	3	0	1000
43096	3	0	
43096	3	0	54.64
43095	2	0	
43095	2	-54.15	
43094	1	0	
43093	7	-53.59	
43092	6	-6.37	
43092	6	-19.53	
43092	6	-6.16	
43092	6	-123.32	
43092	6	-5.67	
43091	5	-1328.94	
43091	5	-35.92	
43091	5	0	100
43090	4	-57.56	
43090	4	-101.14	
43090	4	-7.75	
43090	4	-16.75	
43090	4	0	100
43090	4	-54.96	
43090	4	-3942.67	3942.67
43090	4	0	
43090	4	0	86.89
43090	4	0	2125.82
43089	3	0	
43089	3	0	5.49
43089	3	-10	
43088	2	0	
43087	1	-26.35	
43087	1	-20.3	
43087	1	-18.64	
43087	1	-18.69	
43087	1	-3	
43087	1	-2.99	
43087	1	-5	
43087	1	-13.12	
43087	1	-6	
43087	1	-118.95	
43087	1	-2	
43087	1	-1.5	
43087	1	-28.39	
43087	1	-2.5	
43087	1	-16.7	
43087	1	-16.02	
43086	7	-200	
43086	7	-111.16	
43086	7	-12.8	
43086	7	-39.99	
43086	7	-32.72	
43086	7	-3	
43085	6	-25	
43085	6	-292.5	
43085	6	-30.35	
43085	6	-7	
43085	6	-11.51	
43085	6	-25.74	
43085	6	-10.9	
43084	5	-39.72	
43084	5	-4.68	
43084	5	-23.5	
43084	5	-4.41	
43084	5	-22.05	
43084	5	-7.64	
43084	5	-50.5	
43084	5	-3.31	
43083	4	-12.57	
43083	4	-36.46	
43083	4	-8.82	
43083	4	-2.46	
43083	4	0	31.69
43083	4	0	1802.72
43082	3	-19.52	
43082	3	-32.11	
43082	3	-50	
43082	3	-50	
43082	3	-2.46	
43082	3	-97.5	
43081	2	-4.13	
43081	2	-52	
43081	2	-185.27	
43081	2	-4.86	
43081	2	-13.06	
43081	2	-44.99	44.99
43081	2	-2.46	
43081	2	-1.44	
43081	2	-44.99	
43081	2	0	7.04
43080	1	-5	
43080	1	-18	
43080	1	-60	
43080	1	-41.37	
43080	1	-4.28	
43080	1	-365	
43080	1	-193.34	193.34
43080	1	-193.34	
43080	1	-2.46	
43080	1	-24	
43079	7	-15	
43079	7	-11.51	
43079	7	-22.72	
43079	7	-40.05	
43079	7	-20	20
43079	7	-90	
43079	7	-9.08	
43079	7	-7.47	
43079	7	-25	
43079	7	-20	20
43078	6	-120	
43078	6	-18.95	
43078	6	-4.03	
43078	6	-0.95	
43078	6	-1.5	
43078	6	-16.1	
43078	6	-0.75	
43078	6	-0.75	
43078	6	-4.64	
43078	6	-5.14	
43078	6	-5.03	
43078	6	-2.26	
43078	6	-8.55	
43078	6	-13.91	
43078	6	-28	
43078	6	-20.13	
43078	6	-8	
43077	5	-103.18	
43077	5	-40	
43077	5	-13.42	
43077	5	-8	
43077	5	-39.65	
43077	5	-15	
43077	5	-7.64	
43077	5	-27.61	
43077	5	-3.25	
43077	5	-1	
43077	5	-22.71	
43077	5	-1	
43077	5	-1	
43076	4	-8.39	
43076	4	-42.64	
43076	4	-23.03	
43076	4	-7.26	
43076	4	-12.99	12.99
43076	4	-12.99	
43076	4	0	2036.18
43075	3	-200	
43075	3	-200	
43075	3	-10.1	
43075	3	-11.52	
43075	3	-82.5	82.5
43074	2	-21.97	
43074	2	-199.74	199.74
43074	2	-1.44	
43074	2	-82.5	
43074	2	-10.69	
43074	2	-24.77	
43073	1	-23.77	
43073	1	-20.48	
43073	1	-9.73	
43073	1	-11.52	
43073	1	-20.05	
43073	1	-1.44	
43072	7	-62.41	
43072	7	-29.31	
43072	7	-23.03	
43072	7	-10.28	
43071	6	-22.14	
43071	6	-51.8	
43071	6	-47.6	
43071	6	-199.74	
43070	5	-20	20
