Date	DoW.M=1	NetSpend
8-Nov-15	7	-163.10
9-Nov-15	1	-62.49
10-Nov-15	2	-108.90
11-Nov-15	3	-134.63
12-Nov-15	4	-47.18
13-Nov-15	5	-114.46
14-Nov-15	6	-151.35
15-Nov-15	7	-30.19
16-Nov-15	1	-28.64
17-Nov-15	2	-52.62
18-Nov-15	3	-186.70
19-Nov-15	4	-31.08
20-Nov-15	5	-11.08
21-Nov-15	6	-26.77
22-Nov-15	7	-94.90
23-Nov-15	1	-125.59
24-Nov-15	2	-42.93
25-Nov-15	3	-142.29
26-Nov-15	4	-25.99
27-Nov-15	5	-65.41
28-Nov-15	6	-133.23
29-Nov-15	7	-179.05
30-Nov-15	1	-83.27
1-Dec-15	2	-28.49
2-Dec-15	3	-99.31
3-Dec-15	4	-14.43
4-Dec-15	5	-87.07
5-Dec-15	6	-100.32
6-Dec-15	7	-48.55
7-Dec-15	1	-87.38
8-Dec-15	2	0
9-Dec-15	3	-106.08
10-Dec-15	4	-81.32
11-Dec-15	5	-155.47
12-Dec-15	6	-130.12
13-Dec-15	7	-175.40
14-Dec-15	1	-100.08
15-Dec-15	2	-36.73
16-Dec-15	3	0
17-Dec-15	4	0
18-Dec-15	5	0
19-Dec-15	6	0
20-Dec-15	7	0
21-Dec-15	1	0
22-Dec-15	2	-75.15
23-Dec-15	3	0
24-Dec-15	4	0
25-Dec-15	5	0
26-Dec-15	6	0
27-Dec-15	7	-75.37
28-Dec-15	1	-75.05
29-Dec-15	2	-12.99
30-Dec-15	3	-242.44
31-Dec-15	4	-349.20
1-Jan-16	5	-26.07
2-Jan-16	6	-117.63
3-Jan-16	7	-196.97
4-Jan-16	1	-77.75
5-Jan-16	2	-82.39
6-Jan-16	3	127.35
7-Jan-16	4	-76.98
8-Jan-16	5	-58.14
9-Jan-16	6	-200.77
10-Jan-16	7	-181.78
11-Jan-16	1	-159.29
12-Jan-16	2	-1.76
13-Jan-16	3	-135.22
14-Jan-16	4	-27.56
15-Jan-16	5	-13.30
16-Jan-16	6	-104.78
17-Jan-16	7	-26.29
18-Jan-16	1	-74.52
19-Jan-16	2	-239.15
20-Jan-16	3	-8.95
21-Jan-16	4	-33.03
22-Jan-16	5	-239.38
23-Jan-16	6	120.70
24-Jan-16	7	-49.76
25-Jan-16	1	-106.71
26-Jan-16	2	-6.61
27-Jan-16	3	-79.27
28-Jan-16	4	0
29-Jan-16	5	-196.03
30-Jan-16	6	-262.22
31-Jan-16	7	-90.97
1-Feb-16	1	-35.37
2-Feb-16	2	-7.00
3-Feb-16	3	0
4-Feb-16	4	-5.00
5-Feb-16	5	-134.91
6-Feb-16	6	-174.18
7-Feb-16	7	-58.98
8-Feb-16	1	-9.99
9-Feb-16	2	-24.44
10-Feb-16	3	-28.54
11-Feb-16	4	-36.02
12-Feb-16	5	-93.68
13-Feb-16	6	-101.64
14-Feb-16	7	-55.95
15-Feb-16	1	-41.35
16-Feb-16	2	0
17-Feb-16	3	-20.00
18-Feb-16	4	-20.93
19-Feb-16	5	-98.87
20-Feb-16	6	-92.25
21-Feb-16	7	-216.85
22-Feb-16	1	-6.74
23-Feb-16	2	-70.45
24-Feb-16	3	-144.25
25-Feb-16	4	-39.75
26-Feb-16	5	-51.58
27-Feb-16	6	-114.53
28-Feb-16	7	-115.74
29-Feb-16	1	0
1-Mar-16	2	-199.84
2-Mar-16	3	-128.87
3-Mar-16	4	-46.57
4-Mar-16	5	-55.81
5-Mar-16	6	-85.48
6-Mar-16	7	-77.35
7-Mar-16	1	-32.59
8-Mar-16	2	-27.00
9-Mar-16	3	-68.01
10-Mar-16	4	-91.14
11-Mar-16	5	-96.21
12-Mar-16	6	-213.49
13-Mar-16	7	-69.13
14-Mar-16	1	-90.34
15-Mar-16	2	-149.96
16-Mar-16	3	-230.87
17-Mar-16	4	-129.87
18-Mar-16	5	-262.60
19-Mar-16	6	-99.31
20-Mar-16	7	-126.05
21-Mar-16	1	-105.51
22-Mar-16	2	-172.71
23-Mar-16	3	0
24-Mar-16	4	-57.00
25-Mar-16	5	0
26-Mar-16	6	-106.83
27-Mar-16	7	-91.49
28-Mar-16	1	-100.99
29-Mar-16	2	-28.00
30-Mar-16	3	-93.52
31-Mar-16	4	-10.75
1-Apr-16	5	6.54
2-Apr-16	6	-43.26
3-Apr-16	7	-150.61
5-Apr-16	2	-46.69
6-Apr-16	3	0
7-Apr-16	4	-115.44
8-Apr-16	5	-47.47
9-Apr-16	6	-328.14
10-Apr-16	7	-183.35
11-Apr-16	1	-23.14
12-Apr-16	2	-90.10
13-Apr-16	3	-60.83
14-Apr-16	4	-8.25
15-Apr-16	5	-55.00
16-Apr-16	6	-108.92
17-Apr-16	7	-164.08
18-Apr-16	1	-38.29
19-Apr-16	2	-90.85
20-Apr-16	3	-75.12
21-Apr-16	4	-59.34
22-Apr-16	5	-203.14
23-Apr-16	6	-172.03
24-Apr-16	7	-46.23
25-Apr-16	1	0
26-Apr-16	2	-30.29
27-Apr-16	3	-61.50
28-Apr-16	4	-58.78
29-Apr-16	5	-45.96
30-Apr-16	6	-24.00
1-May-16	7	-46.68
2-May-16	1	-50.78
3-May-16	2	-120.38
4-May-16	3	-7.15
5-May-16	4	82.01
6-May-16	5	-119.53
7-May-16	6	-224.34
8-May-16	7	-196.47
9-May-16	1	-188.42
10-May-16	2	-69.00
11-May-16	3	-26.50
12-May-16	4	-7.15
13-May-16	5	-298.28
14-May-16	6	-86.47
15-May-16	7	-165.33
16-May-16	1	-106.52
17-May-16	2	-261.36
18-May-16	3	-73.85
19-May-16	4	-110.29
20-May-16	5	-139.70
21-May-16	6	-96.97
22-May-16	7	-675.39
23-May-16	1	-9.00
24-May-16	2	0
25-May-16	3	-137.09
26-May-16	4	-8.00
27-May-16	5	-51.77
28-May-16	6	-289.26
29-May-16	7	-151.00
30-May-16	1	-87.52
31-May-16	2	-171.45
1-Jun-16	3	-53.48
2-Jun-16	4	-78.72
3-Jun-16	5	-115.67
4-Jun-16	6	-50.13
5-Jun-16	7	-49.28
6-Jun-16	1	-456.48
7-Jun-16	2	-44.46
8-Jun-16	3	-12.40
9-Jun-16	4	-19.34
10-Jun-16	5	0
11-Jun-16	6	-338.16
12-Jun-16	7	-133.17
13-Jun-16	1	-5.00
14-Jun-16	2	-50.15
15-Jun-16	3	-3.01
16-Jun-16	4	-18.02
17-Jun-16	5	-72.52
18-Jun-16	6	-92.77
19-Jun-16	7	-83.96
20-Jun-16	1	-333.38
21-Jun-16	2	-239.93
22-Jun-16	3	0
23-Jun-16	4	-16.00
24-Jun-16	5	-92.99
25-Jun-16	6	-102.73
26-Jun-16	7	-86.40
27-Jun-16	1	-5.40
28-Jun-16	2	-11.76
29-Jun-16	3	-73.32
30-Jun-16	4	-68.58
1-Jul-16	5	-103.22
2-Jul-16	6	-142.34
3-Jul-16	7	-223.65
4-Jul-16	1	0
5-Jul-16	2	-5.73
6-Jul-16	3	-35.53
7-Jul-16	4	-32.42
8-Jul-16	5	-281.89
9-Jul-16	6	-141.07
10-Jul-16	7	-73.49
11-Jul-16	1	-26.50
12-Jul-16	2	-45.43
13-Jul-16	3	0
14-Jul-16	4	-25.14
15-Jul-16	5	94.66
16-Jul-16	6	-312.37
17-Jul-16	7	-120.98
18-Jul-16	1	-42.90
