Dates	Day of the Week, M=1	Weekday	Count	Net Changes
42055	5	TRUE	3	-58.75
42056	6	FALSE	13	-310.35
42057	7	FALSE	5	-128.05
42058	1	TRUE	1	-5.49
42059	2	TRUE	4	-209.46
42060	3	TRUE	1	-6.19
42061	4	TRUE	3	-26.33
42062	5	TRUE	6	-146.54
42063	6	FALSE	5	-127.59
42064	7	FALSE	8	-160.54
42065	1	TRUE	3	-44.39
42066	2	TRUE	2	-23.18
42067	3	TRUE	2	-50.65
42068	4	TRUE	8	-206.77
42069	5	TRUE	3	-51.43
42070	6	FALSE	1	-13.05
42071	7	FALSE	6	-370.65
42072	1	TRUE	6	-57.38
42073	2	TRUE	1	-6.36
42074	3	TRUE	4	-58.85
42075	4	TRUE	2	-17.41
42076	5	TRUE	2	-112
42077	6	FALSE	6	-90.54
42078	7	FALSE	5	-74.42
42079	1	TRUE	3	-66.51
42080	2	TRUE	3	-36.33
42081	3	TRUE	4	-36
42082	4	TRUE	7	-96.24
42083	5	TRUE	4	-327.26
42084	6	FALSE	6	-209.38
42085	7	FALSE	4	-77.89
42086	1	TRUE	2	-64.47
42087	2	TRUE	2	-23.88
42088	3	TRUE	2	-17.41
42089	4	TRUE	2	-158.7
42090	5	TRUE	2	-32.25
42091	6	FALSE	5	-118.65
42092	7	FALSE	7	-145.24
42093	1	TRUE	2	-19.97
42094	2	TRUE	4	-29.67
42095	3	TRUE	9	-211.97
42096	4	TRUE	1	-4.89
42097	5	TRUE	3	-30.24
42098	6	FALSE	2	-35.45
42099	7	FALSE	6	-100.21
42100	1	TRUE	2	-36.97
42101	2	TRUE	3	-91.81
42102	3	TRUE	4	-57.27
42103	4	TRUE	1	-5.82
42104	5	TRUE	5	-30.94
42105	6	FALSE	8	-155.3
42106	7	FALSE	4	-166.83
42107	1	TRUE	4	-62.3
42108	2	TRUE	1	-5.82
42109	3	TRUE	1	-10
42110	4	TRUE	2	-24.28
42111	5	TRUE	4	-56.62
42112	6	FALSE	7	-680.45
42113	7	FALSE	9	-245.45
42114	1	TRUE	1	-5.82
42115	2	TRUE	5	-64.44
42116	3	TRUE	2	-12.5
42117	4	TRUE	2	-21.36
42118	5	TRUE	2	-76.97
42119	6	FALSE	2	-102.08
42120	7	FALSE	8	-94.61
42121	1	TRUE	2	-12.6
42122	2	TRUE	7	-162.53
42123	3	TRUE	3	-62
42124	4	TRUE	5	-92.23
42125	5	TRUE	9	-167.95
42126	6	FALSE	1	-16.92
42127	7	FALSE	4	-74.81
42128	1	TRUE	1	-5.82
42129	2	TRUE	3	-24.62
42130	3	TRUE	4	-66.55
42131	4	TRUE	4	-51.81
42132	5	TRUE	2	-18.42
42133	6	FALSE	10	-305.79
42134	7	FALSE	7	-86.82
42135	1	TRUE	1	0
42136	2	TRUE	2	-113.53
42137	3	TRUE	3	-128.15
42138	4	TRUE	3	-54.67
42139	5	TRUE	3	-32.81
